Date,MA,V,ratio,z_score,signal,cumulative_profit,MA_buyhold,V_buyhold,buyhold_total
2025-06-12,584.8392944335938,368.4893493652344,1.5871267254835106,-0.8992159376707928,Hold,525.5138522586452,11314.788838586543,11852.505125923784,3167.293964510325
2025-06-13,557.794677734375,350.08477783203125,1.5933131431438639,-0.7549494778637518,Hold,525.5138522586452,10791.561124435544,11260.519824819445,2052.080949254989
2025-06-16,564.3845825195312,352.69415283203125,1.6002096376922825,-0.5941241168547258,Hold,525.5138522586452,10919.05491943208,11344.450691793574,2263.5056112256534
2025-06-17,565.1588134765625,355.03564453125,1.5918368259128912,-0.7893770047715286,Hold,525.5138522586452,10934.033837357882,11419.765059536103,2353.7988968939826
2025-06-18,534.6702270507812,337.71246337890625,1.5832114151229668,-0.9905204689476604,Hold,525.5138522586452,10344.17621206133,10862.562812689202,1206.7390247505318
2025-06-20,528.9535522460938,335.91668701171875,1.574656969118181,-1.19000904351158,Hold,525.5138522586452,10233.576652678865,10804.801445545843,1038.378098224708
2025-06-23,538.262939453125,341.0560607910156,1.5782242315375512,-1.10682094521305,Hold,525.5138522586452,10413.683823087465,10970.110033617893,1383.793856705357
2025-06-24,553.3285522460938,348.87432861328125,1.5860397480246964,-0.9245641114415616,Hold,525.5138522586452,10705.155735284203,11221.585577209253,1926.7413124934537
2025-06-25,545.5575561523438,342.5542297363281,1.5926166101416175,-0.7711925373999416,Hold,525.5138522586452,10554.811562614652,11018.29882152833,1573.1103841429795
2025-06-26,541.6968383789062,343.31817626953125,1.5778274376991692,-1.1160741262104266,Hold,525.5138522586452,10480.118896120468,11042.871255484208,1522.9901516046739
2025-06-27,546.1728515625,345.8779602050781,1.5790912240799122,-1.0866027912453486,Hold,525.5138522586452,10566.715580873228,11125.207019786734,1691.9226006599638
2025-06-30,557.7052612304688,352.2674865722656,1.5831868750000542,-0.9910927414404352,Hold,525.5138522586452,10789.831198163469,11330.726919207904,2120.5581173713726
2025-07-01,560.3551635742188,352.6842041015625,1.588829771953306,-0.8595011142344736,Hold,525.5138522586452,10841.098419343338,11344.13068965761,2185.2291090009458
2025-07-02,557.2885131835938,351.4440002441406,1.585710704398019,-0.9322373662634982,Hold,525.5138522586452,10781.768442814837,11304.239380444455,2086.007823259293
