Date,MA,V
2025-09-12,576.8154907226562,337.36248779296875
2025-09-15,579.3497924804688,336.98480224609375
2025-09-16,582.788330078125,337.9588317871094
2025-09-17,594.9227294921875,344.0912780761719
2025-09-18,582.4205932617188,336.1200866699219
2025-09-19,580.5422973632812,339.5292053222656
2025-09-22,580.8703002929688,342.2624206542969
2025-09-23,566.4401245117188,336.6369323730469
2025-09-24,565.287353515625,336.6170959472656
2025-09-25,563.7867431640625,332.889892578125
2025-09-26,561.6301879882812,335.3150329589844
2025-09-29,564.62158203125,338.0880432128906
2025-09-30,565.287353515625,339.3006286621094
2025-10-01,570.2166748046875,345.7113037109375
2025-10-02,573.754638671875,343.8428039550781
2025-10-03,576.8553466796875,347.7090759277344
2025-10-06,575.2254638671875,347.1524963378906
2025-10-07,576.2490844726562,350.27337646484375
2025-10-08,572.8701171875,349.2198181152344
2025-10-09,561.79443359375,344.9261474609375
2025-10-10,554.7589111328125,341.5567932128906
2025-10-13,556.5103759765625,341.2088928222656
2025-10-14,565.1480102539062,346.25799560546875
2025-10-15,560.0629272460938,343.5843505859375
2025-10-16,547.196044921875,333.3570556640625
2025-10-17,558.23193359375,339.8075256347656
2025-10-20,563.5956420898438,342.3121643066406
2025-10-21,569.2379760742188,345.0950927734375
2025-10-22,568.5711669921875,343.2563781738281
2025-10-23,570.969482421875,343.85272216796875
2025-10-24,570.8699340820312,345.2640686035156
2025-10-27,569.5662841796875,345.701416015625
2025-10-28,563.167724609375,344.7869873046875
2025-10-29,551.8731689453125,339.20123291015625
2025-10-30,550.9774780273438,342.9283752441406
2025-10-31,549.2957763671875,338.66448974609375
2025-11-03,541.4144287109375,334.847900390625
2025-11-04,550.0520629882812,338.2272033691406
2025-11-05,550.6093139648438,337.9687805175781
2025-11-06,550.5794677734375,334.90753173828125
2025-11-07,549.2758178710938,333.9732666015625
2025-11-10,550.2610473632812,332.8103942871094
2025-11-11,555.624755859375,336.8555908203125
2025-11-12,558.4906616210938,337.4830017089844
2025-11-13,552.8583374023438,334.69451904296875
2025-11-14,543.0663452148438,328.6595153808594
2025-11-17,534.2296142578125,324.4071350097656
2025-11-18,525.0049438476562,319.85595703125
2025-11-19,527.7713012695312,322.7838439941406
2025-11-20,525.303466796875,322.4352722167969
2025-11-21,537.7623901367188,326.6279602050781
2025-11-24,535.2247314453125,327.9424743652344
2025-11-25,543.8026733398438,333.15093994140625
2025-11-26,542.2702026367188,332.41400146484375
2025-11-28,547.8429565429688,333.0613098144531
2025-12-01,541.3148803710938,329.02801513671875
2025-12-02,543.2454223632812,328.26116943359375
2025-12-03,551.0272216796875,328.2511901855469
2025-12-04,539.6630249023438,325.7515869140625
2025-12-05,542.8573608398438,329.8744812011719
2025-12-08,537.8021850585938,325.49261474609375
2025-12-09,534.92626953125,325.1540222167969
2025-12-10,536.2297973632812,324.38720703125
2025-12-11,560.6201782226562,344.2051696777344
2025-12-12,569.138427734375,346.3960876464844
2025-12-15,566.3521118164062,345.4599914550781
2025-12-16,563.25732421875,343.68731689453125
2025-12-17,562.7099609375,342.9902038574219
2025-12-18,563.4463500976562,344.5836181640625
2025-12-19,569.4369506835938,347.81024169921875
2025-12-22,572.8900756835938,350.6385192871094
2025-12-23,573.536865234375,351.9232177734375
2025-12-24,576.6217651367188,353.6759948730469
2025-12-26,576.77099609375,353.5365295410156
2025-12-29,575.0792846679688,353.1481628417969
2025-12-30,574.6016235351562,352.1622314453125
